date,sentiment_score
2019-07-11,0.995
2019-07-12,0.9977
2019-07-12,0.9955
2019-07-12,0.9974
2019-07-12,0.9922
2019-07-13,0.9968
2019-07-14,0.9968
2019-07-18,0.9413
2019-07-18,0.9746
2019-07-20,0.6796
2019-07-22,-0.9072
2019-07-22,0.3326
2019-07-22,-0.3841
2019-07-22,-0.6597
2019-07-25,-0.7003
2019-07-25,0.9898
2019-07-26,-0.9647
2019-07-30,0.9601
2019-07-30,0.9054
2019-08-03,0.4404
2019-08-07,0.9545
2019-08-07,0.9947
2019-08-09,0.7184
2019-08-13,0.9932
2019-08-14,0.836
2019-08-15,-0.7469
2019-08-16,-0.1531
2019-08-17,-0.7469
2019-08-20,0.9968
2019-08-22,0.9906
2019-08-25,0.9758
2019-08-26,0.9736
2019-08-29,0.9737
2019-08-30,0.9989
2019-09-02,0.765
2019-09-05,0.9414
2019-09-10,0.9976
2019-09-14,0.9973
2019-09-14,0.5346
2019-09-17,0.9902
2019-09-18,0.9338
2019-09-18,0.0
2019-09-18,0.9957
2019-09-19,0.9962
2019-09-19,0.9979
2019-09-22,-0.6308
2019-09-24,0.9973
2019-09-26,-0.6597
2019-09-26,0.9927
2019-09-26,0.997
2019-09-26,0.9986
2019-09-26,0.9972
2019-09-27,0.9956
2019-09-29,0.9968
2019-09-30,0.9952
2019-10-02,0.9042
2019-10-02,0.9899
2019-10-03,0.5267
2019-10-03,0.7282
2019-10-03,0.9973
2019-10-04,0.998
2019-10-05,-0.7977
2019-10-06,0.9848
2019-10-09,0.992
2019-10-11,0.8654
2019-10-12,0.9992
2019-10-17,-0.9442
2019-10-18,0.9821
2019-10-18,0.9991
2019-10-23,0.9697
2019-10-25,0.9793
2019-10-25,0.9932
2019-10-25,0.9909
2019-10-26,0.9989
2019-10-28,0.9902
2019-10-31,0.9982
2019-11-04,0.8934
2019-11-04,0.7659
2019-11-04,0.9343
2019-11-04,0.9982
2019-11-06,0.9912
2019-11-07,0.9042
2019-11-07,-0.6597
2019-11-08,0.9928
2019-11-08,0.9837
2019-11-08,0.9984
2019-11-08,0.6808
2019-11-12,0.9913
2019-11-13,0.9893
2019-11-14,0.296
2019-11-14,0.9979
2019-11-15,-0.6249
2019-11-16,-0.4664
2019-11-23,0.9904
2019-11-25,0.9136
2019-11-25,0.6481
2019-11-25,0.998
2019-11-27,-0.6597
2019-11-28,0.9972
2019-11-28,-0.9186
2019-12-03,0.939
2019-12-04,-0.6597
2019-12-05,0.9066
2019-12-09,-0.5043
2019-12-09,-0.6597
2019-12-10,-0.5043
2019-12-14,0.9776
2019-12-16,0.743
2019-12-17,0.9932
2020-01-08,0.9623
2020-01-12,0.9864
2020-01-14,0.9838
2020-01-14,0.9864
2020-01-17,0.8689
2020-01-21,0.9962
2020-01-25,0.9883
2020-02-01,0.9861
2020-02-06,0.9451
2020-02-07,0.9857
2020-02-08,0.8555
2020-02-10,0.1531
2020-02-14,0.9883
2020-02-14,0.9959
2020-02-15,0.9961
2020-02-18,-0.9682
2020-02-18,0.9915
2020-02-19,0.9343
2020-02-20,0.9343
2020-02-20,-0.9471
2020-02-20,0.9343
2020-02-21,0.9884
2020-02-21,0.9533
2020-02-24,0.9686
2020-02-25,-0.9475
2020-02-26,0.9595
2020-02-27,0.9595
2020-02-28,0.9961
2020-03-01,0.9967
2020-03-02,0.9967
2020-03-04,0.3716
2020-03-04,0.9782
2020-03-07,0.9978
2020-03-09,0.9771
2020-03-10,-0.6978
2020-03-12,0.9818
2020-03-24,0.9648
2020-03-25,0.9648
2020-03-29,0.8481
2020-04-03,0.9969
2020-04-07,-0.2732
2020-04-07,0.9381
2020-04-08,-0.2732
2020-04-12,-0.0829
2020-04-15,0.9641
2020-04-16,0.9423
2020-04-24,0.9881
2020-04-25,-0.91
2020-04-26,0.9984
2020-04-27,0.988
2020-04-29,0.988
2020-05-04,0.4767
2020-05-06,0.9912
2020-05-08,0.9983
2020-05-12,-0.9853
2020-05-12,-0.9813
2020-05-13,0.7525
2020-05-24,0.9817
2020-05-26,0.9833
2020-05-31,0.9669
2020-06-03,-0.8809
2020-06-06,0.9217
2020-06-08,0.9774
2020-06-08,0.9948
2020-06-09,0.9948
2020-06-16,-0.6705
2020-06-21,0.9261
2020-06-22,-0.9081
2020-06-22,0.9261
2020-06-23,0.9978
2020-06-24,0.9977
2020-06-24,0.9917
2020-06-24,0.99
2020-06-24,0.9531
2020-06-24,0.9952
2020-06-24,0.8674
2020-06-27,0.9946
2020-06-29,0.9693
2020-07-02,0.9944
2020-07-03,-0.6597
2020-07-06,0.8131
2020-07-08,0.9972
2020-07-09,0.9934
2020-07-10,0.9953
2020-07-15,0.9921
2020-07-23,-0.9329
2020-08-02,-0.8526
2020-08-05,-0.6652
2020-08-06,0.9578
2020-08-07,0.9779
2020-08-08,-0.7343
2020-08-10,0.872
2020-08-11,-0.9615
2020-08-11,0.8885
2020-08-12,-0.9464
2020-08-12,0.4195
2020-08-12,0.6542
2020-08-13,0.8807
2020-08-13,0.8807
2020-08-17,0.5839
2020-08-19,0.8591
2020-08-23,0.9887
2020-08-24,0.8779
2020-08-24,0.9817
2020-08-25,0.9756
2020-08-26,0.9985
2020-08-28,0.9885
2020-08-28,0.0201
2020-08-29,0.9963
2020-08-31,-0.1531
2020-08-31,0.8704
2020-09-02,0.9578
2020-09-10,0.993
2020-09-11,0.6969
2020-09-14,0.9457
2020-09-14,0.5719
2020-09-14,0.9406
2020-09-15,0.9865
2020-09-15,0.992
2020-09-15,0.9994
2020-09-17,0.2732
2020-09-17,0.6705
2020-09-18,0.915
2020-09-18,0.2732
2020-09-22,0.9775
2020-09-22,0.997
2020-09-22,0.9997
2020-09-23,0.91
2020-09-24,0.9923
2020-09-25,0.903
2020-09-25,0.987
2020-09-25,0.9921
2020-09-25,0.91
2020-09-25,0.9945
2020-09-26,0.7845
2020-09-29,0.9901
2020-09-30,0.99
2020-10-01,0.9894
